Nationality,Driver,Race_Wins
Argentina,25,38.0
Australia,18,43.0
Austria,16,41.0
Belgium,23,11.0
Belgium France,1,0.0
Brazil,32,101.0
Canada,15,17.0
Chile,1,0.0
China,1,0.0
Colombia,3,7.0
Czech Republic,1,0.0
Denmark,5,0.0
East Germany,3,0.0
"East Germany, West Germany",1,0.0
Finland,9,57.0
France,72,81.0
Germany,14,176.0
Hungary,1,0.0
India,2,0.0
Indonesia,1,0.0
Ireland,5,0.0
Italy,99,43.0
Japan,21,0.0
Liechtenstein,1,0.0
Malaysia,1,0.0
Mexico,6,6.0
Monaco,4,5.0
Monaco Netherlands,1,0.0
Morocco,1,0.0
Netherlands,16,36.0
New Zealand,9,12.0
Poland,1,1.0
Portugal,5,0.0
RAF,1,0.0
Rhodesia,4,0.0
Rhodesia and Nyasaland,1,0.0
Russia,3,0.0
South Africa,23,10.0
Spain,15,33.0
Sweden,11,12.0
Switzerland,24,7.0
Thailand,2,0.0
United Kingdom,164,309.0
United States,160,33.0
Uruguay,4,0.0
Venezuela,3,1.0
West Germany,39,3.0
