Nationality,Driver
Argentina,25
Australia,18
Austria,16
Belgium,23
Belgium France,1
Brazil,32
Canada,15
Chile,1
China,1
Colombia,3
Czech Republic,1
Denmark,5
East Germany,3
"East Germany, West Germany",1
Finland,9
France,72
Germany,14
Hungary,1
India,2
Indonesia,1
Ireland,5
Italy,99
Japan,21
Liechtenstein,1
Malaysia,1
Mexico,6
Monaco,4
Monaco Netherlands,1
Morocco,1
Netherlands,16
New Zealand,9
Poland,1
Portugal,5
RAF,1
Rhodesia,4
Rhodesia and Nyasaland,1
Russia,3
South Africa,23
Spain,15
Sweden,11
Switzerland,24
Thailand,2
United Kingdom,164
United States,160
Uruguay,4
Venezuela,3
West Germany,39
